"subclauses (I) through (VI) of subparagraph (A)(i)","usc/18/787/b/4/A/i/I..VI"
"subparagraphs (1)(A) through (1)(E)","usc/18/895/b/1/A..E"
"subparagraphs (2)(A) through (2)(F)","usc/18/895/b/2/A..F"
"subparagraphs (1)(A) through (1)(E)","usc/18/895/b/1/A..E"
"subparagraphs (2)(A) through (2)(F)","usc/18/895/b/2/A..F"
"sections 995 through 999","usc/18/995..999"
"997 through 999","usc/18/997..999"
"997 through 999","usc/18/997..999"
"paragraphs (1) through (6) of subsection (a)","usc/18/1301/a/1..6"
"paragraphs (1) through (3) of subsection (b)","usc/18/1301/b/1..3"
"sections 1301 through 1306","usc/18/1301..1306"
"paragraphs (1) through (6)","usc/18/1331/a/1..6"
"paragraphs (1) through (9)","usc/18/1331/a/1..9"
"subparagraphs (A) through (F)","usc/18/1345/a/1/A..F"
"321–331 of title 49","usc/49/321..331"
"692–695","usc/18/692..695"
"697–702","usc/18/697..702"
"773–775","usc/18/773..775"
"clauses (ii) through (v)","usc/18/2553/a/1/A/ii..v"
"773–775","usc/18/773..775"
"692–695","usc/18/692..695"
"697–702","usc/18/697..702"
"sections 311 through 316","usc/18/311..316"
"subparagraphs (A) through (E) of paragraph (1)","usc/18/2562/o/1/A..E"
"subparagraphs (A) through (E) of paragraph (1)","usc/18/2562/o/1/A..E"
"paragraphs (1) through (7) of subsection (a)","usc/18/3119D/a/1..7"
"paragraphs (2) through (6)","usc/18/3119e/b/2..6"
"sections 920 through 920c of this title","usc/10/920..920c"
"sections 920 through 920c of this title","usc/10/920..920c"
"paragraphs (40) through (44) ofsubsection (a)","usc/31/1105/a/40..44"
"sections 31112 through 31114 of title 49","usc/49/31112..31114"
"sections 5312 through 5316 of title 5, United StatesCode","usc/5/5312..5316"
"7 U.S.C. 1308-3a","usc/7/1308-3a"
"7 U.S.C. 1736o-1","usc/7/1736o-1"
"2009 through 2009m","usc/7/2009..2009m"
"sections 1115 through1119 of this title","usc/31/1115..1119"
"subsections (a)through (d)","usc/10/2805/a..d"
"2000e–16c","usc/42/2000e-16c"
"sections 883 through 891 of title 10, United States Code","usc/10/883..891"
"sections 893 through 917 of title 10, United States Code","usc/10/893..917"
"paragraphs (5) through (8)","usc/10/822/a/5..8"
"paragraphs (1) through (5)","usc/38/1705/a/1..5"
"paragraphs (5) through (9)","usc/18/4122/b/5..9"
"paragraphs (2) through (5) of this subsection","usc/5/8341/h/2..5"
"subsections (b) through (e)","usc/5/553/b..e"
"subsections (b) through (f) of section 553 of thistitle","usc/5/553/b..f"
"Subsections (c) through (e)","usc/5/553/c..e"
"Paragraphs (1) through (3) ofsubsection (f)","usc/5/553/f/1..3"
"Subparagraphs (B) through (H) ofsubsection (f)(4)","usc/5/553/f/4/B..H"
"subsections (d) through (f) of thissection","usc/5/553/d..f"
"subsections (d)through (f) of this subsection","usc/5/553/d..f"
"(f)(1)–(3)","usc/5/553/f/1..3"
"(f)(4)(B)–(F)","usc/5/553/f/4/B..F"
"sections 556–557 of chapter 5","usc/5/556..557"
"subsections (b) through (e)","usc/5/553/b..e"
"subsections (b) through (f) of section 553 of thistitle","usc/5/553/b..f"
"Subsections (c) through (e)","usc/5/553/c..e"
"Paragraphs (1) through (3) ofsubsection (f)","usc/5/553/f/1..3"
"Subparagraphs (B) through (H) ofsubsection (f)(4)","usc/5/553/f/4/B..H"
"subsections (d) through (f) of thissection","usc/5/553/d..f"
"subsections (d)through (f) of this subsection","usc/5/553/d..f"
"(f)(1)–(3)","usc/5/553/f/1..3"
"(f)(4)(B)–(F)","usc/5/553/f/4/B..F"
"42 U.S.C. 17081 et seq","usc/42/17081/et    -seq"
"7 U.S.C. 301–305","usc/7/301..305"
"7 U.S.C. 321–326","usc/7/321..326"
"sections 8131 through 8137 of title 38, United States Code","usc/38/8131..8137"
"sections 5901 through 5902 of title 5, United States Code","usc/5/5901..5902"
"sections 7901 through 7904 of title 5, United States Code","usc/5/7901..7904"
"sections 7251 through 7298 of title 38, United States Code","usc/38/7251..7298"
"sections 8131 through 8137 of title 38, United States Code","usc/38/8131..8137"
"sections 5901 through 5902 of title 5, United States Code","usc/5/5901..5902"
"sections 7901 through 7904 of title 5, United States Code","usc/5/7901..7904"
"sections 7251 through 7298 of title 38, United States Code","usc/38/7251..7298"
"6 U.S.C. 341 through 345","usc/6/341..345"
"6 U.S.C. 341 through 345","usc/6/341..345"
"subparagraphs (C) through (H)","usc/10/1455/d/2/C..H"
"subparagraphs (D) through (I)","usc/10/1455/d/2/D..I"
"12 U.S.C. 635—635i–9","usc/12/635..635i–9"
"12 U.S.C. 635j through 635n","usc/12/635j..635n"
"12 U.S.C. 635o–635t","usc/12/635o..635t"
"paragraphs (34) through (38)","usc/31/1105/a/34..38"
"sections 1541-1548","usc/18/1541..1548"
"sections 1581 through 1594 of such title","usc/18/1581..1594"
