bioguide_id,name,wikipedia_link
F000372,"Rep. Rodney P. Frelinghuysen (R, NJ-11)",http://en.wikipedia.org/wiki/Rodney_Frelinghuysen
G000548,"Rep. Scott Garrett (R, NJ-5)",http://en.wikipedia.org/wiki/Scott_Garrett
G000549,"Rep. Jim Gerlach (R, PA-6)",http://en.wikipedia.org/wiki/Jim_Gerlach
G000550,"Rep. Phil Gingrey (R, GA-11)",http://en.wikipedia.org/wiki/Phil_Gingrey
G000289,"Rep. Bob Goodlatte (R, VA-6)",http://en.wikipedia.org/wiki/Bob_Goodlatte
G000377,"Rep. Kay Granger (R, TX-12)",http://en.wikipedia.org/wiki/Kay_Granger
G000546,"Rep. Sam Graves (R, MO-6)",http://en.wikipedia.org/wiki/Sam_Graves
G000410,"Rep. Gene Green (D, TX-29)",http://en.wikipedia.org/wiki/Gene_Green
G000551,"Rep. Ra̼l M. Grijalva (D, AZ-3)",http://en.wikipedia.org/wiki/Ra%C3%BAl_Grijalva
G000535,"Rep. Luis V. Gutierrez (D, IL-4)",http://en.wikipedia.org/wiki/Luis_Guti%C3%A9rrez
H000067,"Rep. Ralph M. Hall (R, TX-4)",http://en.wikipedia.org/wiki/Ralph_Hall
H000324,"Rep. Alcee L. Hastings (D, FL-20)",http://en.wikipedia.org/wiki/Alcee_Hastings
H000329,"Rep. Doc Hastings (R, WA-4)",http://en.wikipedia.org/wiki/Doc_Hastings
H001036,"Rep. Jeb Hensarling (R, TX-5)",http://en.wikipedia.org/wiki/Jeb_Hensarling
H000636,"Rep. Rub̩n Hinojosa (D, TX-15)",http://en.wikipedia.org/wiki/Rub%C3%A9n_Hinojosa
H001032,"Rep. Rush D. Holt (D, NJ-12)","http://en.wikipedia.org/wiki/Rush_D._Holt,_Jr."
H001034,"Rep. Michael M. Honda (D, CA-17)",http://en.wikipedia.org/wiki/Mike_Honda
H000874,"Rep. Steny H. Hoyer (D, MD-5)",http://en.wikipedia.org/wiki/Steny_Hoyer
I000055,"Sen. Johnny Isakson (R, GA)",http://en.wikipedia.org/wiki/Johnny_Isakson
I000057,"Rep. Steve Israel (D, NY-3)",http://en.wikipedia.org/wiki/Steve_Israel
I000056,"Rep. Darrell E. Issa (R, CA-49)",http://en.wikipedia.org/wiki/Darrell_Issa
J000174,"Rep. Sam Johnson (R, TX-3)",http://en.wikipedia.org/wiki/Sam_Johnson
J000126,"Rep. Eddie Bernice Johnson (D, TX-30)",http://en.wikipedia.org/wiki/Eddie_Bernice_Johnson
J000255,"Rep. Walter B. Jones (R, NC-3)","http://en.wikipedia.org/wiki/Walter_B._Jones,_Jr."
K000009,"Rep. Marcy Kaptur (D, OH-9)",http://en.wikipedia.org/wiki/Marcy_Kaptur
K000188,"Rep. Ron Kind (D, WI-3)",http://en.wikipedia.org/wiki/Ron_Kind
K000362,"Rep. Steve King (R, IA-4)",http://en.wikipedia.org/wiki/Steve_King
K000210,"Rep. Peter T. King (R, NY-2)",http://en.wikipedia.org/wiki/Peter_T._King
K000220,"Rep. Jack Kingston (R, GA-1)",http://en.wikipedia.org/wiki/Jack_Kingston
K000360,"Sen. Mark Kirk (R, IL)",http://en.wikipedia.org/wiki/Mark_Kirk
K000363,"Rep. John Kline (R, MN-2)",http://en.wikipedia.org/wiki/John_Kline_(politician)
L000559,"Rep. James R. Langevin (D, RI-2)",http://en.wikipedia.org/wiki/James_Langevin
L000560,"Rep. Rick Larsen (D, WA-2)",http://en.wikipedia.org/wiki/Rick_Larsen
L000557,"Rep. John B. Larson (D, CT-1)",http://en.wikipedia.org/wiki/John_B._Larson
L000111,"Rep. Tom Latham (R, IA-3)",http://en.wikipedia.org/wiki/Tom_Latham
L000551,"Rep. Barbara Lee (D, CA-13)",http://en.wikipedia.org/wiki/Barbara_Lee
J000032,"Rep. Sheila Jackson Lee (D, TX-18)",http://en.wikipedia.org/wiki/Sheila_Jackson_Lee
L000263,"Rep. Sander M. Levin (D, MI-9)",http://en.wikipedia.org/wiki/Sander_M._Levin
L000287,"Rep. John Lewis (D, GA-5)",http://en.wikipedia.org/wiki/John_Lewis_(U.S._politician)
L000554,"Rep. Frank A. LoBiondo (R, NJ-2)",http://en.wikipedia.org/wiki/Frank_LoBiondo
L000397,"Rep. Zoe Lofgren (D, CA-19)",http://en.wikipedia.org/wiki/Zoe_Lofgren
L000480,"Rep. Nita M. Lowey (D, NY-17)",http://en.wikipedia.org/wiki/Nita_Lowey
L000491,"Rep. Frank D. Lucas (R, OK-3)",http://en.wikipedia.org/wiki/Frank_Lucas_(Oklahoma)
L000562,"Rep. Stephen F. Lynch (D, MA-8)",http://en.wikipedia.org/wiki/Stephen_Lynch_(politician)
M000087,"Rep. Carolyn B. Maloney (D, NY-12)",http://en.wikipedia.org/wiki/Carolyn_Maloney
M000133,"Rep. Edward J. Markey (D, MA-5)",http://en.wikipedia.org/wiki/Ed_Markey
M001142,"Rep. Jim Matheson (D, UT-4)",http://en.wikipedia.org/wiki/Jim_Matheson
M000309,"Rep. Carolyn McCarthy (D, NY-4)",http://en.wikipedia.org/wiki/Carolyn_McCarthy
M001143,"Rep. Betty McCollum (D, MN-4)",http://en.wikipedia.org/wiki/Betty_McCollum
M000404,"Rep. Jim McDermott (D, WA-7)",http://en.wikipedia.org/wiki/Jim_McDermott
M000312,"Rep. James P. McGovern (D, MA-2)",http://en.wikipedia.org/wiki/Jim_McGovern_(American_politician)
M000485,"Rep. Mike McIntyre (D, NC-7)",http://en.wikipedia.org/wiki/Mike_McIntyre
M000508,"Rep. Howard P. ""Buck"" McKeon (R, CA-25)",http://en.wikipedia.org/wiki/Howard_McKeon
M001137,"Rep. Gregory W. Meeks (D, NY-5)",http://en.wikipedia.org/wiki/Gregory_Meeks
M000639,"Sen. Robert Menendez (D, NJ)",http://en.wikipedia.org/wiki/Bob_Menendez
M000689,"Rep. John L. Mica (R, FL-7)",http://en.wikipedia.org/wiki/John_Mica
M001149,"Rep. Michael H. Michaud (D, ME-2)",http://en.wikipedia.org/wiki/Mike_Michaud
M001150,"Rep. Candice S. Miller (R, MI-10)",http://en.wikipedia.org/wiki/Candice_Miller
M001139,"Rep. Gary G. Miller (R, CA-31)",http://en.wikipedia.org/wiki/Gary_Miller
M000725,"Rep. George Miller (D, CA-11)",http://en.wikipedia.org/wiki/George_Miller_(California_politician)
M001144,"Rep. Jeff Miller (R, FL-1)",http://en.wikipedia.org/wiki/Jeff_Miller_(Florida_politician)
M000934,"Sen. Jerry Moran (R, KS)",http://en.wikipedia.org/wiki/Jerry_Moran
M000933,"Rep. James P. Moran (D, VA-8)",http://en.wikipedia.org/wiki/Jim_Moran
M001151,"Rep. Tim Murphy (R, PA-18)",http://en.wikipedia.org/wiki/Timothy_F._Murphy
N000002,"Rep. Jerrold Nadler (D, NY-10)",http://en.wikipedia.org/wiki/Jerrold_Nadler
N000179,"Rep. Grace F. Napolitano (D, CA-32)",http://en.wikipedia.org/wiki/Grace_Napolitano
N000015,"Rep. Richard E. Neal (D, MA-1)",http://en.wikipedia.org/wiki/Richard_Neal
N000147,"Del. Eleanor Holmes Norton (D, DC-0)",http://en.wikipedia.org/wiki/Eleanor_Holmes_Norton
N000181,"Rep. Devin Nunes (R, CA-22)",http://en.wikipedia.org/wiki/Devin_Nunes
P000034,"Rep. Frank Pallone Jr. (D, NJ-6)",http://en.wikipedia.org/wiki/Frank_Pallone
P000096,"Rep. Bill Pascrell Jr. (D, NJ-9)",http://en.wikipedia.org/wiki/Bill_Pascrell
P000099,"Rep. Ed Pastor (D, AZ-7)",http://en.wikipedia.org/wiki/Ed_Pastor
P000588,"Rep. Stevan Pearce (R, NM-2)",http://en.wikipedia.org/wiki/Steve_Pearce_(politician)
P000197,"Rep. Nancy Pelosi (D, CA-12)",http://en.wikipedia.org/wiki/Nancy_Pelosi
P000258,"Rep. Collin C. Peterson (D, MN-7)",http://en.wikipedia.org/wiki/Collin_Peterson
P000265,"Rep. Thomas E. Petri (R, WI-6)",http://en.wikipedia.org/wiki/Tom_Petri
P000373,"Rep. Joseph R. Pitts (R, PA-16)",http://en.wikipedia.org/wiki/Joseph_R._Pitts
P000449,"Sen. Rob Portman (R, OH)",http://en.wikipedia.org/wiki/Rob_Portman
