com_code,com_name,wikipedia_link
SSBK12,Subcommittee on Economic Policy ,http://en.wikipedia.org/wiki/United_States_Senate_Banking_Subcommittee_on_Economic_Policy
SSBU00,Senate Committee on the Budget,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_the_Budget
SSCM00,"Senate Committee on Commerce, Science, and Transportation","http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Commerce,_Science_and_Transportation"
SSCM01,"Subcommittee on Aviation Operations, Safety, and Security ","http://en.wikipedia.org/wiki/United_States_Senate_Commerce_Subcommittee_on_Aviation_Operations,_Safety,_and_Security"
SSCM20,"Subcommittee on Consumer Protection, Product Safety, and Insurance ","http://en.wikipedia.org/wiki/United_States_Senate_Commerce_Subcommittee_on_Consumer_Protection,_Product_Safety,_and_Insurance"
SSCM22,"Subcommittee on Oceans, Atmosphere, Fisheries, and Coast Guard ","http://en.wikipedia.org/wiki/United_States_Senate_Commerce_Subcommittee_on_Oceans,_Atmosphere,_Fisheries,_and_Coast_Guard"
SSCM24,Subcommittee on Science and Space ,http://en.wikipedia.org/wiki/United_States_Senate_Commerce_Subcommittee_on_Science_and_Space
SSCM25,"Subcommittee on Surface Transportation and Merchant Marine Infrastructure, Safety, and Security ","http://en.wikipedia.org/wiki/United_States_Senate_Commerce_Subcommittee_on_Surface_Transportation_and_Merchant_Marine_Infrastructure,_Safety,_and_Security"
SSCM26,"Subcommittee on Communications, Technology, and the Internet ","http://en.wikipedia.org/wiki/United_States_Senate_Commerce_Subcommittee_on_Communications,_Technology,_and_the_Internet"
SSCM27,"Subcommittee on Competitiveness, Innovation, and Export Promotion ","http://en.wikipedia.org/wiki/United_States_Senate_Commerce_Subcommittee_on_Competitiveness,_Innovation,_and_Export_Promotion"
SSEG00,Senate Committee on Energy and Natural Resources,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Energy_and_Natural_Resources
SSEG01,Subcommittee on Energy ,http://en.wikipedia.org/wiki/United_States_Senate_Energy_Subcommittee_on_Energy
SSEG03,Subcommittee on Public Lands and Forests ,"http://en.wikipedia.org/wiki/United_States_Senate_Energy_Subcommittee_on_Public_Lands,_Forests_and_Mining"
SSEG04,Subcommittee on National Parks ,http://en.wikipedia.org/wiki/United_States_Senate_Energy_Subcommittee_on_National_Parks
SSEG07,Subcommittee on Water and Power ,http://en.wikipedia.org/wiki/United_States_Senate_Energy_Subcommittee_on_Water_and_Power
SSFI00,Senate Committee on Finance,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
SSFI02,"Subcommittee on Social Security, Pensions and Family Policy ","http://en.wikipedia.org/wiki/United_States_Senate_Finance_Subcommittee_on_Social_Security,_Pensions,_and_Family_Policy"
SSFI10,Subcommittee on Health Care ,http://en.wikipedia.org/wiki/United_States_Senate_Finance_Subcommittee_on_Health_Care
SSFI11,Subcommittee on Taxation and IRS Oversight ,http://en.wikipedia.org/wiki/United_States_Senate_Finance_Subcommittee_on_Taxation_and_IRS_Oversight
SSFI12,"Subcommittee on Energy, Natural Resources, and Infrastructure ","http://en.wikipedia.org/wiki/United_States_Senate_Finance_Subcommittee_on_Energy,_Natural_Resources,_and_Infrastructure"
SSFI13,"Subcommittee on International Trade, Customs, and Global Competitiveness ","http://en.wikipedia.org/wiki/United_States_Senate_Finance_Subcommittee_on_International_Trade,_Customs,_and_Global_Competitiveness"
SSFI14,Subcommittee on Fiscal Responsibility and Economic Growth ,http://en.wikipedia.org/wiki/United_States_Senate_Finance_Subcommittee_on_Fiscal_Responsibility_and_Economic_Growth
SSFR00,Committee on Foreign Relations of the Senate,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Foreign_Relations
SSFR01,Subcommittee on European Affairs ,http://en.wikipedia.org/wiki/United_States_Senate_Foreign_Relations_Subcommittee_on_European_Affairs
SSFR02,Subcommittee on East Asian and Pacific Affairs ,http://en.wikipedia.org/wiki/United_States_Senate_Foreign_Relations_Subcommittee_on_East_Asian_and_Pacific_Affairs
SSFR06,"Subcommittee on Western Hemisphere, Peace Corps and Global Narcotics Affairs ",http://en.wikipedia.org/wiki/United_States_Senate_Foreign_Relations_Subcommittee_on_Western_Hemisphere_and_Global_Narcotics_Affairs
SSFR07,Subcommittee on Near Eastern and South and Central Asian Affairs ,http://en.wikipedia.org/wiki/United_States_Senate_Foreign_Relations_Subcommittee_on_Near_Eastern_and_South_and_Central_Asian_Affairs
SSFR09,Subcommittee on African Affairs ,http://en.wikipedia.org/wiki/United_States_Senate_Foreign_Relations_Subcommittee_on_African_Affairs
SSFR12,"Subcommittee on International Development and Foreign Assistance, Economic Affairs and International Environmental Protection ","http://en.wikipedia.org/wiki/United_States_Senate_Foreign_Relations_Subcommittee_on_International_Development_and_Foreign_Assistance,_Economic_Affairs_and_International_Environmental_Protection,_and_Peace_Corps"
SSFR13,"Subcommittee on International Operations and Organizations, Human Rights, Democracy and Global Women's Issues ","http://en.wikipedia.org/wiki/United_States_Senate_Foreign_Relations_Subcommittee_on_International_Operations_and_Organizations,_Human_Rights,_Democracy_and_Global_Women's_Issues"
SSGA00,Committee on Homeland Security and Governmental Affairs of the Senate,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Homeland_Security_and_Governmental_Affairs
SSGA01,Permanent Subcommittee on Investigations ,http://en.wikipedia.org/wiki/United_States_Senate_Homeland_Security_Permanent_Subcommittee_on_Investigations
SSGA03,"Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia",
SSGA09,"Subcommittee on Federal Financial Management, Government Information, Federal Services, and International Security ",
SSGA13,Ad Hoc Subcommittee on Contracting Oversight ,http://en.wikipedia.org/wiki/United_States_Senate_Homeland_Security_Subcommittee_on_Contracting_Oversight
SSGA14,Ad Hoc Subcommittee on Disaster Recovery and Intergovernmental Affairs ,"http://en.wikipedia.org/wiki/United_States_Senate_Homeland_Security_Subcommittee_on_Emergency_Management,_Intergovernmental_Relations,_and_the_District_of_Columbia"
SSHR00,"Senate Committee on Health, Education, Labor, and Pensions","http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Health,_Education,_Labor,_and_Pensions"
SSHR09,Subcommittee on Children and Families ,http://en.wikipedia.org/wiki/United_States_Senate_Health_Subcommittee_on_Children_and_Families
SSHR11,Subcommittee on Employment and Workplace Safety ,http://en.wikipedia.org/wiki/United_States_Senate_Health_Subcommittee_on_Employment_and_Workplace_Safety
SSHR12,Subcommittee on Primary Health and Aging ,http://en.wikipedia.org/wiki/United_States_Senate_Health_Subcommittee_on_Primary_Health_and_Aging
SLIA00,Senate Committee on Indian Affairs,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Indian_Affairs
SSJU00,Committee on the Judiciary,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_the_Judiciary
SSJU01,"Subcommittee on Antitrust, Competition Policy and Consumer Rights ","http://en.wikipedia.org/wiki/United_States_Senate_Judiciary_Subcommittee_on_Antitrust,_Competition_Policy_and_Consumer_Rights"
SSJU02,Subcommittee on Administrative Oversight and the Courts ,http://en.wikipedia.org/wiki/United_States_Senate_Judiciary_Subcommittee_on_Administrative_Oversight_and_the_Courts
SSJU04,"Subcommittee on Immigration, Refugees and Border Security ","http://en.wikipedia.org/wiki/United_States_Senate_Judiciary_Subcommittee_on_Immigration,_Refugees_and_Border_Security"
SSJU21,"Subcommittee on the Constitution, Civil Rights and Human Rights ","http://en.wikipedia.org/wiki/United_States_Senate_Judiciary_Subcommittee_on_the_Constitution,_Civil_Rights_and_Human_Rights"
SSJU22,Subcommittee on Crime and Terrorism ,http://en.wikipedia.org/wiki/United_States_Senate_Judiciary_Subcommittee_on_Crime_and_Terrorism
SSJU23,"Subcommittee on Privacy, Technology and the Law ","http://en.wikipedia.org/wiki/United_States_Senate_Judiciary_Subcommittee_on_Privacy,_Technology_and_the_Law"
SSRA00,Senate Committee on Rules and Administration,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Rules_and_Administration
SSSB00,Senate Committee on Small Business and Entrepreneurship,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Small_Business_and_Entrepreneurship
SSVA00,Senate Committee on Veterans' Affairs,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Veterans'_Affairs
SSEV00,Senate Committee on Environment and Public Works,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Environment_and_Public_Works
SSEV17,Subcommittee on Children's Health and Environmental Responsibility ,http://en.wikipedia.org/wiki/United_States_Senate_Environment_and_Public_Works_Subcommittee_on_Children's_Health_and_Environmental_Responsibility
SSEV10,Subcommittee on Clean Air and Nuclear Safety ,http://en.wikipedia.org/wiki/United_States_Senate_Environment_and_Public_Works_Subcommittee_on_Clean_Air_and_Nuclear_Safety
SSEV16,Subcommittee on Green Jobs and the New Economy ,http://en.wikipedia.org/wiki/United_States_Senate_Environment_and_Public_Works_Subcommittee_on_Green_Jobs_and_the_New_Economy
SSEV18,Subcommittee on Oversight ,http://en.wikipedia.org/wiki/United_States_Senate_Environment_and_Public_Works_Subcommittee_on_Oversight
SSEV09,"Subcommittee on Superfund, Toxics and Environmental Health ","http://en.wikipedia.org/wiki/United_States_Senate_Environment_and_Public_Works_Subcommittee_on_Superfund,_Toxics_and_Environmental_Health"
SSEV08,Subcommittee on Transportation and Infrastructure ,http://en.wikipedia.org/wiki/United_States_Senate_Environment_and_Public_Works_Subcommittee_on_Transportation_and_Infrastructure
SSEV15,Subcommittee on Water and Wildlife,http://en.wikipedia.org/wiki/United_States_Senate_Environment_and_Public_Works_Subcommittee_on_Water_and_Wildlife
HAG00,Committee on Agriculture,http://en.wikipedia.org/wiki/United_States_House_Committee_on_Agriculture
HAG03,Nutrition and Horticulture Subcommittee,"http://en.wikipedia.org/wiki/United_States_House_Agriculture_Subcommittee_on_Horticulture,_Research,_Biotechnology,_and_Foreign_Agriculture"
HAG14,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Agriculture_Subcommittee_on_Rural_Development,_Research,_Biotechnology,_and_Foreign_Agriculture"
